                                       ,                    Date                  ,                    Versus                  ,                    Ground                  ,                    D/N*                  ,                    How Dismissed                  ,                    Runs                  ,                    B/F                  ,                    S/R                  ,                    Aggr                  ,                    Avg                  ,                Cumulative    S/R                  
1,19/04/2008,                    Kings XI Punjab                  ,                    Punjab Cricket Association IS Bindra Stadium                  ,                    &check;                  ,                    lbw b J R Hopes                  ,2,3,66.67,2,2,66.67
2,23/04/2008,                    Mumbai Indians                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c D J J Bravo b M  Khote                  ,30,16,187.5,32,16,168.42
3,26/04/2008,                    Kolkata Knight Riders                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    43*                  ,27,159.26,75,37.5,163.04
4,28/04/2008,                    Royal Challengers Bangalore                  ,                    M Chinnaswamy Stadium                  ,                    &check;                  ,                    c sub b Z Khan                  ,65,30,216.67,140,46.67,184.21
5,2/5/2008,                    Delhi Capitals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c Shoaib Malik b Mohammad Asif                  ,32,27,118.52,172,43,166.99
6,4/5/2008,                    Rajasthan Royals                  ,                    Sawai Mansingh Stadium                  ,                    &check;                  ,                    c G C Smith b S K Warne                  ,1,7,14.29,173,34.6,157.27
7,6/5/2008,                    Deccan Chargers                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c Shahid Afridi b P P Ojha                  ,23,31,74.19,196,32.67,139.01
8,8/5/2008,                    Delhi Capitals                  ,                    Arun Jaitley Stadium                  ,                    &check;                  ,                    c A B de Villiers b V Y  Mahesh                  ,33,33,100,229,32.71,131.61
9,10/5/2008,                    Kings XI Punjab                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    60*                  ,43,139.53,289,41.29,133.18
10,14/05/2008,                    Mumbai Indians                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    not out                  ,                    43*                  ,35,122.86,332,47.43,131.75
11,18/05/2008,                    Kolkata Knight Riders                  ,                    Eden Gardens                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,332,47.43,131.75
12,21/05/2008,                    Royal Challengers Bangalore                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c A Kumble b R Vinay Kumar                  ,4,8,50,336,42,129.23
13,24/05/2008,                    Rajasthan Royals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c M Kaif b Sohail Tanvir                  ,12,8,150,348,38.67,129.85
14,27/05/2008,                    Deccan Chargers                  ,                    Rajiv Gandhi International Stadium                  ,                    &check;                  ,                    c H H Gibbs b P P Ojha                  ,37,25,148,385,38.5,131.4
15,31/05/2008,                    Kings XI Punjab                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,385,38.5,131.4
16,1/6/2008,                    Rajasthan Royals                  ,                    Dr DY Patil Sports Academy                  ,                    &check;                  ,                    not out                  ,                    29*                  ,17,170.59,414,41.4,133.55
17,18/04/2009,                    Mumbai Indians                  ,                    Newlands                  ,,                    b S L Malinga                  ,36,26,138.46,450,40.91,133.93
18,20/04/2009,                    Royal Challengers Bangalore                  ,                    St George's Park                  ,                    &check;                  ,                    c R  Bishnoi b P Kumar                  ,16,14,114.29,466,38.83,133.14
19,23/04/2009,                    Delhi Capitals                  ,                    Kingsmead                  ,,                    c †K D Karthik b D L Vettori                  ,5,7,71.43,471,36.23,131.93
20,27/04/2009,                    Deccan Chargers                  ,                    Kingsmead                  ,,                    c Shoaib Ahmed b P P Ojha                  ,22,22,100,493,35.21,130.08
